Ticker,Prix,High52W,Low52W,Median52W,ZoneHigh,ZoneLow,PctRange,DistMedian_%,MM30_Daily,Dist_MM30_%,MM30DailySlope_%,Vol14j_%,ATR14j_$,MM30W_3W_Haussier,Phase2_Daily,Breakout,In_Zone,Strat1_Zone,Strat2_Pullback,Strat3_Precoce,Setup,Prix_Alert_Pullback_m3,Prix_Alert_Pullback_p3,PRU_$,Qte_Total,Qte_par_Tier,T1_Prix_$,T1_Gain_$,T2_Prix_$,T2_Gain_$,Signal_Secu_$,SL_Secu_$,T3_Trailing_$,SL_Initial_$,Perte_Max_$,Gain_Secu_$,RR_Ratio
A,153.23,160.51,108.14,134.33,151.12,117.54,86.1,14.1,142.69,7.4,4.75,7.3,3.97,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,138.41,146.97,,,,,,,,,,,,,,
AA,48.96,84.22,29.26,56.74,63.83,49.65,35.8,-13.7,47.66,2.7,1.07,13.86,2.44,NON,OUI,NON,NON,NON,NON,NON,🔴 Rejet,46.23,49.09,,,,,,,,,,,,,,
AAL,13.72,18.79,10.09,14.44,16.25,12.64,41.7,-5.0,15.02,-8.7,-6.31,8.16,0.5,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,14.57,15.47,,,,,,,,,,,,,,
AAON,75.96,150.36,73.05,111.7,125.66,97.74,3.8,-32.0,94.11,-19.3,-9.8,12.09,5.0,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,91.29,96.94,,,,,,,,,,,,,,
AAP,42.83,64.62,37.33,50.97,57.34,44.6,20.2,-16.0,54.55,-21.5,-3.75,26.51,3.36,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,52.91,56.18,,,,,,,,,,,,,,
AAPL,311.64,344.27,223.86,284.07,319.58,248.56,72.9,9.7,317.91,-2.0,0.27,4.25,6.02,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,308.37,327.45,,,,,,,,,,,,,,
AB,36.47,41.24,34.08,37.66,42.37,32.95,33.5,-3.1,36.47,0.0,0.69,1.95,0.53,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,35.38,37.57,,,,,,,,,,,,,,
ABBV,264.84,267.47,189.4,228.44,256.99,199.88,96.6,15.9,253.53,4.5,0.76,5.02,5.52,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,245.92,261.13,,,,,,,,,,,,,,
ABCB,86.59,93.22,68.29,80.75,90.85,70.66,73.4,7.2,88.67,-2.3,-0.84,2.81,1.24,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,86.01,91.33,,,,,,,,,,,,,,
ABEV,2.91,3.44,2.09,2.77,3.11,2.42,60.6,5.2,2.99,-2.5,-2.72,5.12,0.07,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,2.9,3.08,,,,,,,,,,,,,,
